英単語,意味,発音記号
through,"《運動や状態の変化を表す動詞とともに》(一方の端から他方へ) / 『…を貫いて,通って』 / 《場所》『…の中を』,じゅうに / 《期間》『…じゅうずっと』 / 始めから終りまで / 《米》《しばしば from+名とともに》…までずっと / 《手段・媒介・原因・源泉》『…によって』,のために,から / 《完了・終了》…を終わって / 《貫通・通過》『…を貫いて,通って』 / 《継続》 / 『全く』,すっかり / 『終わって』 / 《米》(通話が)済んで / 《英》(電話が)(…と)つながって《+TO+名》 / 《名詞の前にのみ用いて》(列車などが)直通の,直行の / 《補語にのみ用いて》(…を)終わった;《話》 / (終わって…と)関係がなくなった《+with+名》 / 《名詞の前にのみ用いて》(道路が)通り抜けられる;(光などが)貫通する",θrú:
being,"〈U〉存在,実在(existence);生命(life) / 〈U〉本質,本性(nature) / 〈C〉生き物 存在 (existence); もの; 生存, 人生 (life); 生き物; 人間 (human being); [B#] 神; 【哲】 本質, 本性",bí:iŋ
long,"(距離・物の長さが)『長い』 / (時間が)『長い』,長く続く / 《時間・距離などを表離などを表す語を伴って》長さが…の / 『長々しい』,あきあきする / (数量が標準よりも)『多い』,長い / (人が)やせてひょろ長い / 長く,長い間,久しく / …じゅう / ずっと(前に,後に) / 長い間 『熱望する』",lɔ’:ŋ
say,"《直接話法で》「…」‘と’『言う』,述べる;(人に)「…」‘と’言う《+『to』+『名』〈人〉》 / (意見として)…‘を’『言う』,述べる / 〈時計などが〉〈時刻など〉‘を’示している;〈本・新聞などが〉…‘と’言っている,述べている,書いている / 《しばしば受動態で》(世間などで)…‘と’言う,うわさする,伝える / 《命令形に用いて》かりに…‘と’すれば;たとえば,そうですねえ,まあ / …‘を’暗唱する,復唱する;〈祈りなど〉‘を’唱える / 《米話》…‘を’命じる / 『言う』,話す,断言する / 《米話》ねえ,おい　《one’s say》言うべきこと,言い分 / 《時にa say》発言権 / 《the say》決定権",séi
might,"mayの過去形 / 《直説法で》《時制の一致により従節に用いて》 / 《仮定法で》 / 《現在の事実と反対の仮定》…『かもしれないのだが』;…してもよい / 《過去の反対の推量》…『したかもしれない』 / 《仮定法から転じて遠回しの表現で》 / 《可能性・推量》『ひょっとしたら』…『かもしれない』 / 《疑問文で》《不確実》いったい…だろうか / 《許可》…『してもよい』 / 《提案・依頼》…『してくれませんか』…してみてはどうだろうか / 《非難・不平》…『してもよさそうなものだ』 (…の)『巨大な力』,強い影響力《+『of』+『名』》 / 体力,腕力;(一般に物事をする)能力",máit
how,"『どんなふうに』,どんな方法で,どうゆう手段で / 《通例形容詞・副詞を伴って》『どれほど』,どの程度,どのくらい / 『どんなふうで』,どんなぐあで / 《しばしばHow is (comes) it…?の形で》『なぜ』,どんな理由で / 《不定詞を伴って》…する方法・《感嘆文で》『なんと』,どんなに / 《名詞節を導いて》…である次第,の方法 / 《副詞節を導いて》どうにでも…ように(in anyway in which) / 方法,仕方",háu
am,"be動詞の一人称単数,直説法,現在形",æ’m
too,"…もまた,その上 / 『あまりにも』,過度に,必要以上に / 『非常に』,大変,はなはだ(very, extremely) / 《話》《相手の否定の言葉に,肯定で応じて》ところがどうして",tú:
even,"『平らな』,平たんな / 『同じ高さの』,同一平面の,平行の / (運動・動作・品質などが)『均一の』,規則的な,一様の,むらのない / (数・量などが)『同じの』,等しい,釣り合のとれた互角の / 『偶数の』 / 公平な,公正な(fair) / 平静な,穏やかな,落ち着いた(calm) / 貸借にない,清算済みの / 端数のない,ちょうどの,きっかりの / 《意味を強めて,不審や意外の念を含み》…『でさえも』,までも / 《比較級の前に用いて》『なおいっそう』,さらに(still,yet) / 《形容詞の前または後の用いて》(…と)すら言える;《古》《時を表す副詞の前に用いて》ちょうど / …‘を’平らにする,ならす / …‘を’釣り合わせる,平均させる《+『up』+『名』,+『名』+『up』》 / …‘の’変動をなくする,‘を’安定させる《+『out』+『名』,+『名』+『out』》 夕べ,晩",í:vən
again,"『再び』,もう一度(once more);《否定語とともに用いて》二度と(…しない) / 『また元の所へ』,元のように / さらにそれだけ,…の倍も / 《しばしばthen, and thenに続いて》その上に(besides),さらに(furthermore) / 《しばしばand, and thenに続いて》また一方,ところが",əgén
many,"『多くの』,『たくさんの』,多数の / 《many a(an)…の形で》《文》《単数名詞を従えて》多くの,多数の / 《複数扱い》 / (…の)『多数』《+『of』+『名』(複数形)》;多数の人(もの) / 《the~》『大多数』,大衆 心の狭い人,卑しい人",méni
back,"〈C〉(人・動物の)『背』,『背中』,背部 / 《通例the~》(正面に対して)(…の)『後ろ』,『裏』,奥,後部《+『of』+『名』》 / 《通例the back》背に似たもの;(手足の)甲;(刀の)みね;(いす・本の)背 / 〈C〉〈U〉(フットボール・ホッケーなどの)後衛 / 《名詞の前にのみ用にて》『後ろの』,後部にある,裏の / 後もどりする,逆の / 遅れている,未払いの / (中心から)遠い,へんぴな,奥地の / (音声が)後舌音の / 『後方へ』,『後ろに』(backward) / (場所・状態が)『もとへ』,帰って,返して / (時間的に)『さかのぼって』,今から…前に(ago) / 〈車など〉’を’『後退させる』 / (…で)〈人・計画など〉’を’『後援する』,支持する(support)《+『名』+『in』+『名』》 / (競馬で)…に賭ける / (…で)…‘の’伴奏をする《+『名』+『by』+『名』》 / …‘の’裏手にある,背景をなす / 〈手形など〉‘に’裏書きする(endorse) / 《しばしば受動態で》〈本〉‘に’背をつける,(…で)…’を’裏打ちする《+『名』+『with』+『名』》 / 後ずさりする,後退する(move backward)",bæ’k
here,"《場所・位置》『ここで(に)』,ここへ,(図などを指して)この場所に(へ),この地点で(に) / 《関連》『この点で』,このあたりで;『この場合』,この時 / 《文頭において,相手の注意を話者のほうに引き付ける》ほら(さあ),ここに / この世で,現世で / 《名詞の後に用いて》ここの,ここにいる(ある) / 《前置詞の後で》『ここ』,この場所 / 『さあ』,ほら,おい",híər
think,"『…‘を’考える』,心に抱く,想像する,思い描く / …‘と’『思う』,信じる,判断する:《think+that 節…であると思う》 / 『…‘を’企てる』,もくろむ / 《英》…を予期する / 《しばしば think oneself の後に形容詞・副詞[句]を伴って》考えて…の状態にする / 『考える』,思う;思案する,熟考する;予期する / (…について)考えること,一考《+about+名》 / 思考の,思考を促す",θíŋk
every,"《数えられる単数名詞と共に》『すべての』,どの…も / 『毎』…,…ごと[に] / 《数えられる単数名詞と共に》『可能な限りの』,あらゆる",évri
people,"〈U〉《複数扱い》(一般に)『人々』 / 〈U〉《複数扱い》『世間の人』 / 〈C〉『国民』,民族 / 〈U〉《the people》《複数扱い》(国家・自治体の)『住民』,有権者 / 〈U〉《the people》《複数扱い》(特権級に対して)一般民衆,庶民 / 〈U〉《one’s people》《複数扱い》(支配者・指導者などに)支配(指導)される人々,部下 / 〈U〉《複数扱い》(動物に対して)人間 / 〈U〉《one’s people》《複数扱い》《話》家族,身内 / …‘に’人々を住まわせる,植民する",pí:pl
went,goの過去,wént
same,"《the same》(いつもと)『同じ』,(以前と)変わらない / 《the same》(…と)『同一の』,同じ;同種の《+『as節』(『that節』,『wh-節』)》 / 《this,these,that,thoseと共に》《強調的,時に軽べつして》この,その,例の,前に述べた / 同じ物,同じ事 / 同様に",séim
last,"《the ~》(順序・時間について)『最後の』;(行為・でき事について)最後の / 最後に残った,後のない / 《時を表す語につけて》『すぐ前の』,この前の,昨…,先…;最近の,この,ここ / 『最新の』,最近の / 《the ~》『最も』(…)『しそうにない』,最も(…)でない《+『名』+『to』 do(『that節』『wh-節』)》 / 《the ~》(地位・評価・重要さなどが)最も劣る / (特に人生の)終末の / 《the ~》最大の,この上ない(utmost) / (lateの最上級) / (順序・時間が)『最後に』,いちばん遅く / 『この前に』,最近 / (講演・論文などで)最後に,終りに臨んで / 《the ~》『最後の人』(『物』) / 最近のもの,この前のもの / 『最後』,終り,臨終;(月・週の)終り (時間的に)『続く』,継続する / 〈物が〉『使用に耐える』,〈力・精力などが〉もつ / 〈物が〉足りる,なくならない / …‘の’『間をもちこたえる』,‘を’生き続ける / 〈物などが〉(ある期間の間)〈人〉‘の’必要を満たす 靴型",læ’st
thought,"think の過去・過去分詞 / 〈U〉『考えること』,思索,熟考 / 〈C〉〈U〉(一つの)『考え』,思いつき(idea) / 〈U〉(ある個人・グループ・時代・場所に特有の)『思想』,考え方 / 〈C〉〈U〉(…への)『配慮』,心遣い,思いやり《+for+名》 / 〈U〉(…する)つもり,意図《+of doing》 / 《a~》《話》少々,ちょっと",θɔ’:t
away,"(位置が)『離れて』,遠くに / (…から)不在で,るすで《+『from』+『名』》 / (移動して)『あっちへ』,『向こうへ』 / わきの方へ;別の方向へ / なくなって,消えて / せっせと,絶えず(continuously) / 手放して,使用しなくなって / 《話》《命令文で》ちゅうちょせず(without hesitation);すぐに,ただちに",əwéi
under,"《下方の場所・位置》『…の下に』,に覆われて / 《内部の位置》『…の内側に』,の下に / (重荷・苦痛など)『を負って』,に圧迫されて / (支配・保護・影響など)『…を受けて』,のもとで,の状態で / 《受動状態の継続》『…中』 / (分類項目)『の中に』,に属して / (地位・数量などが)『…に劣る』,より下の / (行動などの基準)に従って,基づいて / 『下へ』,下に / 下位に,抑圧されて,従属して / 下の,下部の;下位の,劣った",ʌ’ndər
take,"…‘を’『手に取る』,つかむ,握る / (…から)…‘を'(力づくで)『取り上げる』,奪い取る,占領する《+名+from+名》・〈人〉‘を’『捕らえる』,〈魚・獲物〉‘を’捕獲する・(いくつかある物の中から)…‘を’『選んで取る』,選ぶ・〈賞など〉‘を’『勝ち取る』;〈試合〉‘に’勝つ・〈贈り物・金など〉‘を’『受け取る』,もらう・〈忠告など〉‘を’受け入れる,に従う;〈非難など〉‘を’甘受する・《副詞[句]を伴って》(…な気持ちで)…‘を’受け取る,‘に’反応する・〈人〉‘を’迎える,預かる,引き受ける;〈婿など〉‘を’とる・…‘を’予約する,借り入れる:(定期的に)…‘を’購読する,購入する・(元となるものから)…‘を’取ってくる,(本などから)…‘を’引用する《+名+from+名》・(体内に)…‘を’『取り入れる』,食べる飲む;〈休日など〉‘を’取る・〈外力・影響〉‘を’受ける;〈病気〉‘に’かかる:〈色〉‘に’染まる;〈におい〉‘が’移る;〈火〉‘が’付く・〈物〉‘を’『持って行く』,〈人〉‘を’『連れて行く』・…‘を’連れ去る;〈人の命〉‘を’奪う・(…から)…‘を’減じる,引く《+名+from(off)+名》・(…で)〈人〉‘の’心を奪う,〈注意など〉‘を’引く《+名+with+名》・(…へ)〈乗り物が〉…‘を’『運ぶ』,〈道などが〉…‘を’導く,〈仕事などが〉…‘を’行かせる《+名+to(into)+名》・〈乗り物〉‘に’『乗る』・〈物事が〉・〈時間・空間・労力など〉‘を’『必要とする』,要する・〈人が〉〈場所・位置〉‘を’『占める』・《動作を表す名詞を目的語にして》〈その名詞が表す行動・動作など〉‘を’『する』,とる,実行する・〈手段〉‘を’とる;〈道具など〉‘を’用いる・〈時間・機会など〉‘を’利用する・〈授業〉‘を’受ける・〈道〉‘を’行く,とる・…‘を’書き取る;〈絵画〉‘を’描く;〈写真〉‘を’撮る・…‘を’取り扱う,考慮する・責任・義務〉‘を’負う;〈役目・職務など〉‘に’就く・…‘を’計る,測定する;…‘を’調査する・〈ある感情・決意・見解など〉・‘を’持つ,抱く・…‘を’『理解する』,分かる・…‘に’当たる(hit) ・〈男が〉〈女〉‘と’性交する・〈機械装置などが〉かかる;〈歯車などが〉かみ合う・〈根が〉つく;〈種が〉芽を出す・〈薬が〉効く;〈接種が〉つく / 〈インキ・染料・絵の具などが〉付く,乗る / 人気を博す,受ける・《副詞[句]を伴って》写真に写る・(1回の)捕獲高,漁獲高 / (映画で,連続して撮った)1シーン;(連続撮影の)1ショット・反応・見解：「What is your take on何々?」で「何々をどう思いますか」",téik
found,"findの過去・過去分詞 …‘を’『創設する』,設立する(establish) / (…の上に)〈建物など〉‘を’建てる;(…に)…‘の’基礎を置く《+『名』+『on』(『upon』)+『名』(do『ing』)》 〈金属・ガラス〉を溶かして型に入れる / 〈物〉‘を’鋳造する",fáund
hand,"『手』(手首から先の部分) / (時計・計器の)針 / 《単数形で》筆跡 / 側,方(side): / 《a~》(…への)援助,手助け《+with(at, to)+名》 / 職工,職人,人手 / 乗組員 / 《前に形容詞を置いて》(…するのが)(じょうずな・へたな)人(+『at』+『名』(『doing』)》 / 《単数形》技量,腕前;(…の)やり方,扱い方《+『at』(『with』)+名》 / 《単数形で》拍手かっさい / 《文》《one’s~,the,》結婚の承諾;確約 / (カードの)持ち札;一勝負 / 《しばしば複数形で》所有,管理 / ハンド(馬の高さを測る単位;4インチ) / 《『hand』+『名』〈間〉+『名』〈直〉=『hand』+『名』+『to』+『名』》…‘に’…‘を’『手渡す』,取ってやる / 《副詞[句]を伴って》〈人〉‘に’手を貸す / 手の(に関する),手のための / 手で操作する / 手持ちの",hæ’nd
still,"『静止した』,じっとした,動かない;風のない / (場所などが)『静かな』,音を立てない,人が黙っている / …を沈黙させる,静かにする / 〈不安など〉‘を’静める / 静かになる,静まる / 〈U〉静けさ / 〈C〉(映画の)スチール写真 / 『まだ』,なお,従来通り / 《比較級を強調して》『なおさら』,いっそう / 『それでも』,やはり / それにもかかわらず,しかしながら 蒸留器;蒸留酒製造所",stíl
place,"〈C〉『場所』,『位置』;(物の占める)空間 / 〈C〉『地域』,地方,土地 / 〈C〉(特定の目的のための)『場所』,建物 / 〈C〉《話》住居,家 / 〈C〉(体や物などの表面の)箇所,局部 / 〈C〉(書物中の)読んでいる家所 / 〈C〉席,座席 / 〈C〉『地位』,立場,境遇 / 〈C〉『職』,勤め口;(職場・学校などの)席,定員 / 〈C〉任務,役目 / 〈C〉(説明などの)順序,段階 / 〈C〉《米》(競馬などで)第2着 / 《多く固有名詞に用いて,P-》通り,広小路;広場 / 〈C〉(数字の)けた,位(くらい) / 《場所を表す副詞[句]を伴って》…‘を’『置く』,配置する,据える / (職,地位に)〈人〉‘を’つかせる,任ずる,〈人〉‘に'(…の)職を見つけてやる《+『名』+『in』(『as, with』)+『名』》 / (人・物に)〈信頼・希望など〉‘を’置く,かける《+『名』+『on』(『in』)+『名』》 / (店などに)(…の)〈注文〉‘を’出す《+『名』〈注文〉+『for』+『名』〈品物〉+『with』+『名』〈店〉》 / (…だと)…‘を’見きわめる,思い出す《+『名』+『as』+『名』》 / 《順位を示す副詞を伴って》(競争などで)…位(着)になる",pléis
while,"《通例 a while》『時間,』間,(特に)少しの時間 / 『…する間に(は)』 / 《譲歩》『…であるが,』…なのに / 《比較・対照》(…だが)『一方では』 / 《類似・対応》そして[その上] / 《英北東部》《俗》…まで(until)",(h)wáil
just,"(人・行為などが)『正しい』,『公正な』(fair) / (賞罰などが)受けるに値する,当然の / もっともな,十分根拠のある / 合法的な,正当な / 『ちょうど』,まさに(exactly, precisely) / 《完了形と共に用いて》『たったいま』[…したばかり] / 《過去形と共に用いて》《おもに米》たったいま[…したばかり] / 《現在[進行]形と共に用いて》ちょうどいま(そのとき)[…するところだ] / 《しばしばonlyと共に用いて》『ようやく』,かろうじて(barely) / 『単に』,ただ(only, merely) / 《命令文で用いて》『ちょっと』,まあ / 《話》全く,断然",ʤʌ’st
also,"…『もまた』(too),やはり / そしてその上,それから",ɔ’:lsou
young,"『若い』,幼い,年の行かない / 『年下のほうの』 / 若々しい,青年らしい(youthful),元気な(vigorous) / 新興の,(歴史の)新しい(new);(季節・時間などの)まだ早い(early);新鮮な,生き生きした / 経験の浅い,未熟な;(…に)不慣れな《+in(at)+名》 / 《通例 the young》《集合的に》若い人たち / 《集合的に》《単数・複数扱い》(動物・鳥の)子,ひな",jʌ’ŋ
yet,"《否定文で》『まだ』 / 《疑問文で》『もう』 / 《進行・継続を表す動詞と共に》『まだ』,今なお / 《比較級を強めて》なおいっそう,その上さらに(still) / 《通例and, butと共に》それにもかかわらず,ではあるが / 『それにもかかわらず』,ではあるが,がしかし",jét
though,"『…にもかかわらず』,…だけれども)although) / 『たとえ…でも』 / 《補足的に主節の後に置いて》『もっとも…ではあるが』",ðóu
against,"…『に対して』,に逆らって(in opposition to);…に不利に / 《保護を表す動詞と共に》…『から』 / …『にぶつかって』,に向かって / …『にもたれて』,に寄りかかって / (災難・事故・万一の場合など)『に備えて』,を避けるように / …『を背景として』,と対照して / …と交換に,と引き換えに",əgénst
get,"…‘を’『受け取る』,もらう(受動態にできない) / …‘を’『手に入れる』,得る(受動態にできない) / …‘を’『取ってくる』,持ってくる / 〈人〉‘に’『させる』,『してもらう』 / …‘を’『する』 / 《目的語の名詞の意味を受けて》…『する』,『される』 / 〈病気〉‘に’かかる(受動態にできない) / …‘を’捕らえる,捕まえる / …‘を’覚える,知る / …‘を’聞く,聞き取る(hear);《話》…‘を’理解する,了解する,分かる / 〈放送局〉‘を’キャッチする;…‘と’連絡がつく / 〈食事〉‘の’準備をする,したくする / 《話》《『have got』+『名』》…‘を’持っている(have) / 《話》《『have got to』 do》…しなくてはならない / 〈人〉‘を’やっつける,参らせる / 《副詞[句]を伴って》(ある場所に)『着く』,達する;(ある場所・方向に)動く / (ある状態に)『なる』 / 《『get』+『過分』〈補〉》(…)『される』 / 《話》《『get to』 do=『get』 do『ing』》『やっと』(…)『するようになる』,(…)しだす,し始める",gét
ever,"《疑問文・否定文,また比較級・最上級の文で》『かつて』,今まで / 《条件節,または未来時制で》いつか,いずれ / 《疑問詞を強調して》《話》いったい[ぜんたい],どれほど,そもそも / 《肯定文に用いて》いつも,常に,絶えず",évər
give,"(無償で)〈物〉‘を’『与える』,あげる,贈る,提供する / 〈物〉‘を’『渡す』,手渡す(hand over) / 〈代金〉‘を’『支払う』 / 《抽象的なことを目的語にして》…‘を’『与える』,授ける,出す / 《『give』+『名』〈間〉+『名』〈直〉》…‘に’〈体の一部〉‘を’差し出す / …‘を’供給する;…‘を’生ずる,もたらす / 〈数量・兆候など〉‘を’示す / 《特に短い動作を表す名詞を目的語にしてgive a~の形で》…する / 〈会など〉‘を’催す,開く;〈劇など〉‘を’上演する / (…のために)…‘を’ささげる《+『名』+『for』(『to』)+『名』》 / (…に)〈努力・注意など〉‘を’向ける,注ぐ《+『名』+『to』+『名』》 / 《『give』+『名』+『to』do》…‘に'(…)させる / (…に)『物を与える』,寄付する《+『to』+『名』》 / 力に屈する,妥協する / (力を受けて)へこむ,たわむ;つぶれる / (材料などの)弾力性;(性格などの)順応性,協調性",gív
god,"〈C〉(ギリシア・ローマ神話や多神教などの)『神』;(特に)男神 / 〈C〉(崇拝の対象となる)神像,偶像(idol) / 〈C〉(神のように)崇拝される人,非常に重要なもの,非常に価値あるもの / 〈U〉《G-》(キリスト教など一神教の)『神』",gɑ’d
off,"《分離》(接触しているところ)『から』,から離れて,からはずれて / 《位置》…『から離れたところで』(『に』) / (本来の状態など)からはずれて,…が狂って,がなくなって / (本道など)からそれて,から横道にはいったところに / 《eat, dineなどと共に》…からとって[食べる] / 《『from off』の形で》《話》…から / (ある値段)から割り引いて / 《話》…をやめて,慎んで《+『名』(do『ing』)》 / (仕事義務など)から離れて,を休んで / (人)をたよって,にやっかいになって / (1)《運動・移動を表す動詞と共に》『離れて』,向こうへ / 《状態の動詞と共に》『離れて』 / 《瞬間の動作を表す動詞と共に》『離して』 / 『去って』,出かけて / (電気・ガス・水道などが)『切れて』 / (本来の位置・状態などから)『はずれて』 / (仕事・勤務などを)『旧んで』 / (時間的・空間的に)『離れて』 / 《動作の完了》『すっかり』,完全に / 割り引いて / (中心・的などから)『それた』,『離れた』,はずれた / 『時期はずれの』,(時期などが)いつもほどよくない,シーズン外の / (状態が)水準以下の,いつも調子(状態)でない / 《補語にのみ用いて》(予定・用意されたことが)取りやめになって / 《補語にのみ用いて》(電気器具などが)電源が切れて;(ガス・水道が)切れて,止まって / (人が)…の暮らしぶりで / 勤務のない,休みの / 取れて,ぬげて,はずれて / (馬・車の1対のうち)右側の / 《補語にのみ用いて》(走者が)すでに走り出して / 《おもに英》《補語にのみ用いて》(食物などが)いたんで食べられない;飲めない / 《英》《補語にのみ用いて》(食堂などでメニューには載っているが料理が)もう品切れで / 《英》《補語にのみ用いて》(人の態度が)誠意のない,不親切な,ひどい / 《名詞の前にのみ用いて》《the ~》(クリケットで)打者の右前方の",ɔ’:f
face,"〈C〉『顔』 / 〈C〉表情,顔つき / 〈C〉(物の)『表面』(surface),(建物の)正面(front),(貨幣・カードなどの)表《+『of』+『名』》 / 〈C〉(…の)外観,様子《+『of』+『名』》 / 〈U〉面目,面子(めんつ) / 〈C〉(多角面体の)面 / 〈C〉(活字・版の)面(印刷する部分);(活字の)書体 / 〈C〉(鉱山の)採掘現場 / …‘に’『面する』,‘の’ほうを向く / (…のほうに)…‘を’向ける《+『名』+『toward』+『名』》 / 〈人が〉〈危険など〉‘に’直面する,立ち向かう,対抗する;〈危険などが〉〈人〉‘に’迫る / 〈事実・現実など〉‘を’直視する,認める / (…で)〈壁など〉‘に’上塗り(上張り)をする《+『名』+『with』+『名』》 / (ある場所・方角に)面する,向く《+『on』(『to』,『toward』)+『名』》",féis
nothing,"『何も…ない』(not anything ,no thing) / 『少しも…でない』 / 〈C〉《単数形で》『重用でないこと(人)』,取るに足りない人 / 〈U〉ゼロ",nʌ’θiŋ
right,"《名試の前にのみ用いて》『右の』,右側の / 《しばしば『R-』》(政治上)『右派の』,保守的な / 〈U〉《the~》『右』,右側,右方 / 〈C〉『右手』(right hand) / 〈U〉《集合的に》《しばしばthe R-》(政治上の)右派,保守派 / 〈C〉(野球の)右翼(right field) / 『右に』,右側に,右方に 《補語にのみ用いて》(道徳的に)『正しい』,正当な,正義の(just) / (人,人の判断・意見などが)『間偉いのない』,正しい(correct) / (事実に合って)『正しい』,正確な / 適切な,ぴったりの / (精神が)健全な,まともな;(心身が)健康な / 表の,正面の / 〈U〉(道徳的な)『正しさ』,正義;正しい行い / 〈C〉〈U〉(法律上・道徳上の)権利 / 〈U〉〈C〉《複数形で》(政治的・社会的な)人権,権利 / 《話》『まっすぐに』;まともに(directly) / 《話》『きっかり』,ちょうど(exactly) / 正確に,間違いなく(correctly) / (道徳的に)正しく,公正に / すっかり,完全に(completely);ずっと(all the way) / 適切に,ふさわしく;都合よく,うまく / 《おもに米話》すぐに,ただちに / 《特定の称号に付けて》非常に(very) / …‘を’正しい位置(状態)に戻す,立ち直らせる,整とんする / 〈誤りなど〉‘を’正す",ráit
once,"(ただ)『1度』,『1回』 / 『かつて』,以前 / 《否定文で》一度も(…しない);《条件節で》いったん…すれば / 『1度』,1回 / 『いったん』…『すれば』,…するとすぐに",wʌ’ns
another,"『もう一つの』,『もう一人の』 / 『別の』,ほかの(different) / 『もう一つ』,『もう一人』 / 『別のもの(人)』,違ったもの(人) / 似たもの,同類",ənʌ’ðər
left,"leaveの過去・過去分詞 《名詞の前にのみ用いて》『左の』,左方の / 《しばしばl-》(政治上の)左翼の,左派の,革新派の / 左に,左方に / 《通例 the ~》『左』,左方,左側 / 《しばしばthe L-》左翼の政党(団体),左派 / 〈U〉(野球で)左翼,レフト(left field);〈C〉左翼手(left fielder) / 〈C〉(ボクシングで)左手打ち",léft
part,"〈C〉(全体を構成する)『部分』 / 〈U〉《しばしばa~》(…の)『一部』,『一部分』《+『of』+『名』》 / 〈C〉《割合》…分の1,(比率の)1 / 〈C〉(機械,器具などの)部品 / 〈C〉(仕事などの)『役目』,分担;関与 / 〈U〉(対立・契約などの)一方の側 / 〈C〉《おもに米》(頭髪の)分け目(《おもに英》parting) / 〈C〉《複数形で》地域,地方 / 〈C〉(演劇・影画・オペラなどの)『役』,役割り(role);(役の)せりふ / 〈C〉声部,音部,パート;パート譜 / (複数形で)才能,資質 / …‘を’二つに(部分に)分ける;(各部分に)‘を’分ける)《+『名』+『into』(『in』)+『名』》 / (…から)…を引き離す,分ける《+『名』+『from』+『名』》 / (二つ以上の部分に)『分かれる』 / 『別れる』 / (物を)手放す,処分する《+『with』+『名』〈物〉》 / 一部分は,部分的に,幾分",pɑ’:rt
saw,seeの過去 『のこぎり』 / …‘を’『のこぎりでひく』(切る) / (…に)〈ある形・模様など〉‘を’のこぎりでひいて作る《+『名』+『in』+『名』》 / (…に)のこぎりを使う《+『at』+『名』》;のこぎりをひくように動かす / 《副詞を伴って》〈木などが〉のこぎりでひける(切れる) ことわざ(saying),sɔ’:
house,"『家』,住宅 / 家庭,家族,世帯 / 《しばしば複合語を作って》(ある特定の目的に用いる)建物 / (劇場などの)観客,聴衆 / 《しばしばthe H-》議会,立法府,議院 / 《しばしばH-》(王侯貴族の)家系,…家 / 〈人〉‘に’住居を提供する;〈人〉‘を’泊める,収容する / 〈品物〉‘を’しまう,蓄える / 家の / (特定の会社などの)社員向けの",háus
world,"《the world》『世界』,地球 / 《the world》(特定の時代・特徴・地域に限られた)世界,《one’s world》(個人の生活・経験などの)世界 / 《the world》宇宙 / 〈C〉(特に生物がいる)天体 / 《the world》『世界の人たち』,世間の人たち / 《the world》『世間』,世の中,現世;《文》世俗,俗事 / 《修飾語を伴って》《the world》(特定のグループの作る)世界,(動植物の生存する)界 / 《a world, the world》大量(の…),たくさん(の…)《+of+名》",wə’:rld
head,"(顔を含めた)『頭』,頭部,首;(髪の生えている部分の)頭 / 『頭脳』,頭の働き,知力,才能;理性 / 『長』,指導者,支配者 / (ある物の)頭,上部,先端,先頭 / (川・泉の)源,水源 / (人・動物の)頭数,一人,1頭 / 『首席』,首位 / 《複数形で》(頭像のある)貨幣の表 / 項目,表題(新聞の)見出し / 《米俗》マリファナ常用者 / 長の,指導者の / …‘の’先頭に立つ,‘を’率いる;…‘の’長である / (…の方へ)…‘を’向ける《+『名』+『for』(『toward』)+『名』》 / (サッカーで)〈ボール〉‘を’頭で受ける,ヘディングする / (…に向かって)進む《+for(toward)+名》・「give a head」で「オーラルセックスをする・相手の性器をなめる」",héd
three,"『3』;3の記号(3,?など) / 〈U〉3時,3分;3歳 / 《複数扱い》3人;3個 / 〈C〉三つ(3人,3個)一組のもの / (カードゲーム・さいころなどの)3の札,3の目 / 『3の』,3人の,3個の / 《補語にのみ用いて》3歳の(で)",θrí:
took,take の過去,túk
new,"(その状態になってまだ時間がたっていなくて)『新しい』;《名詞の前にのみ用いて》新しく発見(発明)された,新しく来た / 《名詞の前にのみ用いて》目新しい,初めて聞く,なじみのない / 《補語にのみ用いて》(人が)(…に)『まだ慣れていない』,(…を)よく知らない《『to』+『名』》 / 《補語にのみ用いて》(人が)(…から)出てきたばかりの《+『from』+『名』》 / 《名詞の前にのみ用いて》まだ着た(使った)ことがない,新品の / 新たに始まる;(肉体的・精神的に)一新した / 《おもに複合語を作って》最近(recently);新たに,新しく(newly)",n(j)ú:
love,"〈U〉(…に対する)『愛』,愛情《+『for』(『of,to,toward』)+『名』》 / 〈U〉《時にa~》(物事に対する)『強い好み』,愛好《+『of』(『for』)+『名』》 / 〈U〉恋愛 / 〈C〉《my~》愛人,恋人 / 《夫・妻子・愛人に呼びかけて》おまえ,あなた / 〈C〉愛好するもの / 〈C〉(テニスで)零点 / …を愛する / 〈物事〉‘が’『大好きである』 / …‘に’『恋する』,ほれる / 愛する;恋する",lʌ’v
always,"『いつも』,常に / いつまでも,永久に(forever) / 《話》いずれにしても,必要なら",ɔ’:lweiz
